videoId,title,parentId,textDisplay,authorChannelId,authorDisplayName,likeCount,publishedAt,updatedAt
-Zh0bj6S0Ms,ITZY (있지) - 'SNEAKERS' (English Ver.) Lyrics [Color Coded_Eng],UgxL9aeJHtIEV_pm3dV4AaABAg,*I love how the english lyrics fits to the original*,UCW3HH_SfqnSZiC_5fnBZhkg,TWICENOPHILE,168,2022-07-15T04:34:13Z,2022-07-15T04:34:13Z
-Zh0bj6S0Ms,ITZY (있지) - 'SNEAKERS' (English Ver.) Lyrics [Color Coded_Eng],UgxBD2Oiow_r0VuHG-x4AaABAg,imagine seeing this and not stanning ITZY... they are all out of the world visuals and they're all extremely talented i mean just look at THEM!,UCfTQTSs-jWAFvKxlcKQ8lng,A,70,2022-07-15T04:52:50Z,2022-07-15T04:52:50Z
-Zh0bj6S0Ms,ITZY (있지) - 'SNEAKERS' (English Ver.) Lyrics [Color Coded_Eng],Ugy8ylwJxRjq86B74eJ4AaABAg,Omg their voice is so good in English version,UCf2svXhc534qt1ZgZU94IDw,yOuR bEhAvIoUr iS sO uGh!,30,2022-07-17T08:28:58Z,2022-07-17T08:28:58Z
-Zh0bj6S0Ms,ITZY (있지) - 'SNEAKERS' (English Ver.) Lyrics [Color Coded_Eng],UgyTQl4CjvMOGVJ_hZ94AaABAg,Their voices in English it's just Chef's kiss ✨,UC3uP9xFf4ND0uQNqABGGqVw,Fluffy,25,2022-07-15T15:12:09Z,2022-07-15T15:12:09Z
-Zh0bj6S0Ms,ITZY (있지) - 'SNEAKERS' (English Ver.) Lyrics [Color Coded_Eng],Ugw-yEXhLEJOI0L05IF4AaABAg,FUN FACT: They r 4th generation QUEENS!!!,UCC6daKb2rEt13S1el_pvQcg,Dinah Blakely,39,2022-07-15T04:33:59Z,2022-07-15T04:35:56Z
-Zh0bj6S0Ms,ITZY (있지) - 'SNEAKERS' (English Ver.) Lyrics [Color Coded_Eng],UgwikHRTZjq2kpW5cIt4AaABAg,Omg the rap part!😭💓💓,UCtjeRBpC9T8g1lncKxK_I5g,fsehaa Ryu,16,2022-07-16T03:31:18Z,2022-07-16T03:31:18Z
-Zh0bj6S0Ms,ITZY (있지) - 'SNEAKERS' (English Ver.) Lyrics [Color Coded_Eng],UgyBGi4PVIn9WQmgNMl4AaABAg,Such a Good Song!!!,UCR2Nw-gJTledoLI3AL3A-DA,Kanzrif Zuka.,9,2022-07-15T05:50:16Z,2022-07-15T05:50:16Z
-Zh0bj6S0Ms,ITZY (있지) - 'SNEAKERS' (English Ver.) Lyrics [Color Coded_Eng],Ugx3Puf8Kdet_UEUFVx4AaABAg,why does the english version fit more than the original,UCyZZjfvOKBaxu0_VYRh8qIA,Saniii Mcle,71,2022-07-15T04:53:56Z,2022-07-15T04:53:56Z
-Zh0bj6S0Ms,ITZY (있지) - 'SNEAKERS' (English Ver.) Lyrics [Color Coded_Eng],UgyN1pbZa1PGdAgo3wR4AaABAg,This song is so ✨AdDraCtiVe✨,UCYp4Xk4JPfa2GD9wOs6q5iw,Vincenzo Di gregorio,4,2022-08-16T13:04:40Z,2022-08-16T13:04:40Z
-Zh0bj6S0Ms,ITZY (있지) - 'SNEAKERS' (English Ver.) Lyrics [Color Coded_Eng],UgzjuorlVsd_ysQZ0CB4AaABAg,This comeback is giving out “WANNABE” vibes,UCVYSWC9qrj5woef1MsU18Ug,Suite Precure,41,2022-07-15T04:43:39Z,2022-07-15T04:43:39Z
